epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,294.883,1.1001,1.83484,0.91809,1.22814,0.83174,0.78091,0.84201,0.50784,0.94377,0.88385,0.94308,0.45962,1.3655,2.40462,0.92618,1.53291,0.0008516,0.0008516,0.0008516
60,299,1.1,1.78885,0.94909,1.20435,0.63403,0.89474,0.88132,0.5211,0.88881,0.84211,0.94648,0.47387,1.43391,2.52574,0.86925,1.54672,0.0008318,0.0008318,0.0008318
61,303.102,1.10611,1.75975,0.86262,1.21085,0.66614,0.84211,0.86321,0.5126,0.88822,0.83673,0.91372,0.48717,1.49199,2.42483,0.92992,1.60189,0.000812,0.000812,0.000812
62,307.198,1.09838,1.69745,0.90714,1.19881,0.70585,0.78947,0.82714,0.48556,0.80042,0.89474,0.92246,0.48483,1.47445,2.37529,0.9895,1.60141,0.0007922,0.0007922,0.0007922
63,311.289,1.07412,1.68895,0.8477,1.21519,0.71424,0.78947,0.81136,0.45933,0.82311,0.68421,0.84222,0.4147,1.36782,2.51478,1.06349,1.51975,0.0007724,0.0007724,0.0007724
64,315.396,1.06956,1.71156,0.85957,1.22396,0.71662,0.84211,0.82056,0.51381,0.77294,0.84211,0.85587,0.42599,1.47025,2.72914,0.98636,1.56475,0.0007526,0.0007526,0.0007526
65,320.614,1.09975,1.82416,0.86923,1.23191,0.88432,0.89474,0.953,0.54349,0.88432,0.89474,0.953,0.46111,1.43223,2.6926,0.90122,1.53231,0.0007328,0.0007328,0.0007328
66,325.877,1.06804,1.72063,0.82341,1.20616,0.76426,0.89474,0.86429,0.49391,0.85648,1,0.96692,0.46175,1.42319,2.65986,0.87871,1.51702,0.000713,0.000713,0.000713
67,330.106,1.06156,1.84239,0.89355,1.22846,0.71213,0.94737,0.87695,0.50835,0.86098,0.89474,0.96975,0.44578,1.3573,2.75685,0.91241,1.49509,0.0006932,0.0006932,0.0006932
68,334.369,1.02256,1.68051,0.818,1.16186,0.72824,0.73684,0.78169,0.4495,0.80086,0.94737,0.89574,0.38756,1.47684,2.88149,1.05316,1.58916,0.0006734,0.0006734,0.0006734
69,338.599,0.99184,1.71054,0.79619,1.14599,0.68211,0.67792,0.70431,0.42606,0.78783,0.7821,0.78382,0.36101,1.56967,2.97647,1.27217,1.67128,0.0006536,0.0006536,0.0006536
70,342.821,1.03763,1.59201,0.82056,1.15581,0.6888,0.78947,0.80762,0.4701,0.78253,0.78947,0.83998,0.40086,1.52892,2.85554,0.96545,1.64527,0.0006338,0.0006338,0.0006338
71,346.869,1.01116,1.70416,0.83179,1.15506,0.77147,0.78947,0.83749,0.49347,0.824,0.84211,0.88853,0.44531,1.52397,2.70644,0.87289,1.65814,0.000614,0.000614,0.000614
72,350.958,0.9685,1.62314,0.76022,1.15898,0.88208,0.78947,0.87132,0.49427,1,0.89313,0.93383,0.47972,1.48884,2.70989,0.91417,1.64582,0.0005942,0.0005942,0.0005942
73,355.02,0.9571,1.59738,0.71924,1.11468,0.7522,0.84211,0.86698,0.53422,0.98646,0.84211,0.94712,0.52472,1.3567,2.46423,0.85102,1.55193,0.0005744,0.0005744,0.0005744
74,359.147,0.97873,1.68481,0.74233,1.15729,0.73809,0.94737,0.88776,0.54047,0.98065,0.84211,0.95205,0.52978,1.39077,2.46654,0.78409,1.56831,0.0005546,0.0005546,0.0005546
75,363.214,0.98898,1.63144,0.77975,1.15567,0.71507,0.94737,0.87846,0.52708,0.97115,0.84211,0.94969,0.50399,1.38462,2.45846,0.82255,1.55639,0.0005348,0.0005348,0.0005348
76,367.314,0.85469,1.54131,0.69995,1.08543,0.73787,0.88915,0.88814,0.52796,0.90902,0.84211,0.95848,0.49471,1.39262,2.38081,0.8904,1.55021,0.000515,0.000515,0.000515
77,371.371,0.93326,1.68947,0.73621,1.13392,0.74743,0.93491,0.89819,0.55554,0.78938,0.9867,0.95229,0.50111,1.32647,2.34002,0.79684,1.50055,0.0004952,0.0004952,0.0004952
78,375.464,0.99084,1.58782,0.74593,1.1441,0.82261,0.73684,0.88298,0.56637,0.88703,0.89474,0.94662,0.51336,1.31697,2.36662,0.81352,1.48897,0.0004754,0.0004754,0.0004754
79,379.597,0.97096,1.65261,0.75,1.14142,0.68909,0.81714,0.85279,0.52015,0.79917,0.89474,0.90557,0.47911,1.36079,2.43919,0.93517,1.49827,0.0004556,0.0004556,0.0004556
80,383.684,0.95674,1.59555,0.8043,1.1625,0.7048,0.78947,0.82438,0.49835,0.91254,0.78947,0.88432,0.44846,1.37641,2.57776,0.96971,1.53944,0.0004358,0.0004358,0.0004358
81,387.764,0.96547,1.54206,0.76909,1.15101,0.83186,0.78158,0.86798,0.51927,0.99383,0.84211,0.8918,0.45437,1.35397,2.56962,0.88919,1.53145,0.000416,0.000416,0.000416
82,391.839,0.93199,1.50592,0.73924,1.12705,0.88002,0.7728,0.86864,0.52316,0.97952,0.84211,0.89759,0.47826,1.37052,2.5536,0.88681,1.58474,0.0003962,0.0003962,0.0003962
83,395.88,0.88148,1.41231,0.69466,1.11293,0.92617,0.84211,0.91611,0.51626,0.92617,0.84211,0.93875,0.47409,1.41191,2.63951,0.89337,1.64544,0.0003764,0.0003764,0.0003764
84,400.042,0.8459,1.58162,0.68892,1.07421,0.94508,0.94737,0.9577,0.50045,0.88782,0.89474,0.90602,0.43897,1.52403,2.87644,0.94475,1.78878,0.0003566,0.0003566,0.0003566
85,404.099,0.87587,1.51748,0.65359,1.12042,0.85062,0.89928,0.94113,0.49278,0.80142,0.84997,0.89007,0.4665,1.56698,2.77092,0.9118,1.83753,0.0003368,0.0003368,0.0003368
86,408.206,0.87829,1.59097,0.68408,1.08162,0.89907,0.94737,0.93957,0.50695,0.89907,0.94737,0.93957,0.48255,1.51605,2.62884,0.92492,1.78976,0.000317,0.000317,0.000317
87,412.283,0.92105,1.5276,0.72543,1.10999,0.99596,0.89474,0.94905,0.49676,0.99596,0.89474,0.94905,0.49469,1.50656,2.62875,0.87283,1.81744,0.0002972,0.0002972,0.0002972
