epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,292.885,1.08364,1.84791,0.86389,1.21368,0.83418,0.84211,0.81254,0.49019,0.88831,0.89474,0.87687,0.44101,1.42897,2.77596,0.87922,1.57057,0.0007328,0.0007328,0.0007328
66,297.145,1.03136,1.80972,0.80738,1.16348,0.8374,0.84211,0.79686,0.46974,0.94275,0.94737,0.94499,0.46661,1.41031,2.54575,0.90045,1.62471,0.000713,0.000713,0.000713
67,301.506,1.04425,1.83649,0.86519,1.19526,0.79995,0.84186,0.78456,0.43878,0.89957,0.94303,0.94358,0.46829,1.45436,2.38837,1.07657,1.66707,0.0006932,0.0006932,0.0006932
68,305.889,0.98903,1.63849,0.75595,1.13722,0.8731,0.78947,0.83938,0.45843,0.8731,0.78947,0.83125,0.42393,1.46977,2.58718,1.20232,1.74531,0.0006734,0.0006734,0.0006734
69,310.161,1.04001,1.77905,0.80917,1.16879,0.87099,0.84211,0.87519,0.44738,0.87099,0.84211,0.83963,0.42861,1.5322,2.66764,0.9944,1.74604,0.0006536,0.0006536,0.0006536
70,314.397,1.02948,1.68227,0.80261,1.16816,0.83966,0.82742,0.83635,0.45994,0.83966,0.82742,0.83635,0.42164,1.48961,2.44476,0.86463,1.6928,0.0006338,0.0006338,0.0006338
71,318.967,1.07238,1.68432,0.7984,1.17969,0.8454,0.86406,0.83925,0.47377,0.89679,0.91526,0.93638,0.43236,1.42965,2.34179,0.91927,1.62044,0.000614,0.000614,0.000614
72,323.573,1.01658,1.62081,0.79898,1.15791,0.87365,0.72833,0.75354,0.43769,1,0.82788,0.91898,0.43137,1.54049,2.32703,0.96973,1.69316,0.0005942,0.0005942,0.0005942
73,327.956,0.95043,1.60765,0.75409,1.10583,0.88134,0.7822,0.76041,0.44459,1,0.88681,0.927,0.45529,1.53894,2.27744,0.8902,1.70525,0.0005744,0.0005744,0.0005744
74,332.361,0.96159,1.64499,0.75431,1.11814,0.83298,0.78758,0.76419,0.44804,0.9442,0.89075,0.92486,0.47435,1.4919,2.22822,0.89128,1.67239,0.0005546,0.0005546,0.0005546
75,336.692,0.98154,1.67374,0.78622,1.17066,0.8407,0.83367,0.77594,0.50414,0.9469,0.93893,0.94321,0.50931,1.37042,2.18997,0.8732,1.55541,0.0005348,0.0005348,0.0005348
76,340.965,0.95503,1.61166,0.72425,1.1234,0.87982,0.78947,0.778,0.49318,0.99872,0.89474,0.94087,0.49409,1.36509,2.32314,0.89457,1.52864,0.000515,0.000515,0.000515
77,345.11,0.95723,1.70936,0.76053,1.14748,0.86859,0.73684,0.76326,0.48388,0.99327,0.84211,0.9334,0.4807,1.39419,2.31865,0.91462,1.53272,0.0004952,0.0004952,0.0004952
78,349.422,0.87148,1.60648,0.68594,1.13057,0.79347,0.80944,0.7819,0.48821,0.99248,0.84211,0.93589,0.50941,1.37856,2.26851,0.89415,1.53548,0.0004754,0.0004754,0.0004754
79,354.074,0.88427,1.58428,0.75422,1.0795,0.83223,0.78357,0.74996,0.45654,0.94401,0.8878,0.93409,0.48082,1.51109,2.28088,0.92738,1.67917,0.0004556,0.0004556,0.0004556
80,358.262,0.91653,1.58079,0.72872,1.11092,0.84035,0.83157,0.75333,0.42508,0.89357,0.8842,0.86476,0.41688,1.62497,2.46359,0.87108,1.84987,0.0004358,0.0004358,0.0004358
81,363.228,0.93269,1.64513,0.73492,1.11248,0.88565,0.84211,0.76329,0.45032,0.94173,0.89474,0.87699,0.42912,1.50447,2.34758,0.82349,1.74745,0.000416,0.000416,0.000416
82,367.763,0.96452,1.59477,0.76116,1.14469,0.87398,0.78947,0.76635,0.47828,0.99098,0.89474,0.94537,0.45845,1.36422,2.27506,0.89502,1.59626,0.0003962,0.0003962,0.0003962
83,372.284,0.91884,1.64544,0.74348,1.11914,0.87304,0.78947,0.78651,0.48019,0.99032,0.89474,0.94477,0.45061,1.3617,2.28703,0.91292,1.5856,0.0003764,0.0003764,0.0003764
84,376.946,0.89796,1.57209,0.74195,1.107,0.86539,0.78947,0.79449,0.49404,0.98339,0.89474,0.94017,0.47916,1.39526,2.26778,0.86189,1.62494,0.0003566,0.0003566,0.0003566
85,381.479,0.91912,1.61885,0.72666,1.13585,0.84095,0.8352,0.79664,0.49227,0.94689,0.93884,0.94346,0.49803,1.42269,2.2073,0.83681,1.63556,0.0003368,0.0003368,0.0003368
86,385.682,0.88135,1.50211,0.69779,1.08998,0.84704,0.78947,0.79448,0.49259,0.98503,0.89474,0.94516,0.50373,1.42022,2.18381,0.86847,1.64373,0.000317,0.000317,0.000317
87,389.92,0.86646,1.5349,0.67801,1.08554,0.85509,0.78947,0.79281,0.48011,0.97295,0.89474,0.94778,0.48643,1.43104,2.22975,0.83201,1.69226,0.0002972,0.0002972,0.0002972
88,394.237,0.86393,1.5095,0.69326,1.09666,0.8679,0.78947,0.80578,0.50363,0.98484,0.89474,0.94948,0.50311,1.38756,2.25385,0.75992,1.66633,0.0002774,0.0002774,0.0002774
89,398.428,0.89299,1.53106,0.66357,1.10785,0.8413,0.83725,0.80742,0.49479,0.94702,0.94106,0.95676,0.51345,1.39437,2.22214,0.79814,1.64398,0.0002576,0.0002576,0.0002576
90,402.585,0.80617,1.54936,0.69054,1.09402,0.87257,0.78947,0.78134,0.49478,0.98891,0.89474,0.93477,0.49753,1.45171,2.22593,0.91199,1.66617,0.0002378,0.0002378,0.0002378
91,431.463,0.80842,1.49332,0.66247,1.05847,0.87199,0.78947,0.7595,0.49216,0.98852,0.89474,0.90552,0.51079,1.39477,2.15834,1.02117,1.63665,0.000218,0.000218,0.000218
92,436.088,0.74151,1.33055,0.61293,1.05027,0.87207,0.78947,0.78743,0.51856,0.98967,0.89474,0.91101,0.50445,1.34507,2.1568,1.08341,1.61437,0.0001982,0.0001982,0.0001982
93,440.258,0.73619,1.37216,0.583,1.03458,0.93792,0.84211,0.82467,0.52858,0.9988,0.89474,0.90275,0.49955,1.30435,2.26476,1.13369,1.58641,0.0001784,0.0001784,0.0001784
94,444.485,0.73365,1.27541,0.52262,1.0201,0.86346,0.84211,0.84163,0.50532,0.91819,0.89474,0.92899,0.50493,1.30771,2.22809,0.96053,1.58575,0.0001586,0.0001586,0.0001586
95,448.696,0.68664,1.25057,0.49923,0.9997,0.82432,0.78947,0.79833,0.47238,0.9351,0.89474,0.91703,0.51721,1.39108,2.15539,0.93196,1.64112,0.0001388,0.0001388,0.0001388
96,452.872,0.69293,1.2166,0.50847,0.99567,0.82599,0.78947,0.79224,0.46085,0.93677,0.89474,0.94549,0.50498,1.40163,2.12876,0.91258,1.63883,0.000119,0.000119,0.000119
97,457.068,0.64652,1.22605,0.4739,0.98569,0.87965,0.78947,0.80504,0.47202,0.99944,0.89474,0.95229,0.49625,1.41162,2.15763,0.94707,1.64792,9.92e-05,9.92e-05,9.92e-05
98,461.489,0.64653,1.19579,0.48967,0.9669,0.88119,0.78118,0.76935,0.49683,1,0.8852,0.92403,0.48524,1.41716,2.18393,0.90461,1.65463,7.94e-05,7.94e-05,7.94e-05
99,466.118,0.6436,1.20365,0.47451,0.96822,0.88105,0.78013,0.78033,0.50351,1,0.88387,0.92298,0.48492,1.40796,2.20036,0.90907,1.64182,5.96e-05,5.96e-05,5.96e-05
100,470.493,0.62693,1.2134,0.47798,0.97709,0.88215,0.788,0.79656,0.50832,1,0.89055,0.91209,0.48185,1.38475,2.20414,0.90576,1.63197,3.98e-05,3.98e-05,3.98e-05
